Chocolate Bar	Drops?	Bar?	Candy shell	Chocolate	Peanut	Coconut	More than one element	Caramel	Wafer	Biscuit	Raisins	Honeycomb	Flat?	Nougat	Marshmallow
M&M	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
Smarties	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
Peanut M&M	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
Peanut butter M&M	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
Bounty	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0
Twix	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0
Kit-Kat	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0
Dairy Milk	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
Snickers	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0
Fruit & Nut	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0
Mars	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0
Milky Way	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0
Boost	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0
Crunchie	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
Rolo	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
Munchies	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0
Revels	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0
Maltesers	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0
Tunnock's Tea Cake	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
Wagon Wheel	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1
Tunnock's Wafer	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0
Tunnock's Log	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0
